Unnamed: 0,predicted_value,ground_truth
0,69.192383362646,66.0
1,28.959764217648132,24.0
2,35.83918083024133,41.0
3,62.78370179663372,63.0
4,52.47339383276783,56.0
5,73.2762098397157,78.0
6,76.6965730328672,76.0
7,73.83416842458132,79.0
8,40.28851267830437,70.0
9,45.56211907607872,47.0
10,86.79330287697609,86.0
11,79.6485010458061,80.0
12,25.5181158678945,24.0
13,77.11660218703284,71.0
14,70.26794910855095,72.0
15,89.87325553593395,85.0
16,65.33601132418113,68.0
17,80.7483131012284,79.0
18,48.69731775233462,48.0
19,39.273473270785786,37.0
20,47.71695178025148,54.0
21,24.323875670492193,36.0
22,35.88356412105405,32.0
23,73.62785468585544,72.0
24,80.65141396855068,80.0
25,81.53458492279925,84.0
26,75.88688685586659,71.0
27,50.90283612674953,44.0
28,79.01341284501137,81.0
29,41.714907354512654,48.0
30,68.75437369717352,69.0
31,60.03736405892409,60.0
32,39.53090153981376,29.0
33,75.12083288242331,77.0
34,58.537710279603736,64.0
35,47.210381499490644,42.0
36,57.41997936977147,62.0
37,62.87009750288286,65.0
38,40.674718560054885,53.0
39,52.76884335477227,57.0
40,66.41088510044872,67.0
41,81.81324934917728,74.0
42,67.44749502423505,68.0
