Unnamed: 0,predicted_value,ground_truth
0,11.758536529290344,13.35
1,18.86459015136577,17.4
2,10.097165066783539,10.64
3,11.430601694590695,9.79
4,16.341968582246956,12.5257
5,9.761830234309105,11.55
6,11.988586308743027,16.0
7,10.654741940892256,12.04
8,11.011019914363533,13.85
9,18.91028611924159,13.75
10,9.725096308816568,9.31
11,12.098816155011145,11.2
12,16.813624598875492,16.1
13,9.531812469489,9.7201
14,16.30192011926691,17.0
15,22.198566171683833,18.9
16,7.785025665072439,9.1068
17,17.380840949449635,16.2
18,11.525323747078783,8.2656
19,15.816893170827704,19.2
20,10.944311168230309,13.583
21,19.427614929139615,16.93
22,25.33544022732182,17.2
23,14.023353004595894,12.76
24,7.702335537925029,8.5
25,14.725733608409994,12.67
26,16.746532518232996,14.7
27,19.160211877713678,14.8
28,10.363027302846023,10.5
29,9.601375815184113,10.92
30,14.886000671756443,10.18
31,9.567935083088004,7.26
32,14.44696211218907,14.2
33,22.630389672627246,15.82
34,14.242819876044875,11.85
35,5.59995104211634,13.9
36,8.120189876650318,13.12
37,14.457210963924462,15.1
38,10.8526808865841,8.52
39,10.354647805706838,11.69
40,18.808596454973088,18.59
41,8.739531836625924,10.86
