,lambda_val,correlation
0,1.0,0.020349855224291485
1,1.0,0.09798155228296915
2,1.0,0.14237404304246107
3,0.7142857142857143,0.01991858643790086
4,0.7142857142857143,-0.04178883383671443
5,0.7142857142857143,0.06899294008811316
6,0.7142857142857143,-0.03362405113875866
7,0.7142857142857143,0.0072369608872880535
8,0.7142857142857143,-0.027761809527873993
9,0.7142857142857143,0.0015062000602483754
10,0.7142857142857143,0.022921262338059023
11,0.7090191083867204,-0.03001188845761741
12,0.7165867799274639,-0.03834827446068327
13,0.716984145493407,-0.0421933486747245
14,0.7045740144521458,-0.03210678386191527
15,0.72111858564024,-0.02605948814501365
16,0.8451228222308759,-0.010600806834797064
17,1.0186374045317639,-0.006583472015336156
18,1.1117612930855962,-0.00844356429297477
19,1.2520859495192216,0.060492877538005516
20,0.9510718008052661,-0.017624617399026953
21,0.9918903033027271,-0.01589023956330493
22,1.0096029153517245,-0.008151213483264048
23,1.017119786500801,-0.008152311590189735
24,1.0230171079084656,-0.023105651450653873
25,1.0447427217989065,-0.03930822884043058
