Unnamed: 0,predicted_value,ground_truth
0,14.34999635,12.92
1,17.26678952,19.08
2,11.33570544,14.75
3,14.07651013,14.1
4,13.2177465,9.71
5,12.98145993,13.9
6,10.37386154,12.38
7,13.99566683,15.92
8,12.56964698,11.99
9,16.31810001,19.66
10,14.51084131,10.2
11,15.05333424,15.6
12,13.41471085,8.75
13,10.24774113,10.53
14,15.36456385,14.8
15,17.81450731,17.4
16,12.71552614,17.31
17,11.79833388,12.81
18,16.49734812,15.91
19,17.30170809,14.77
20,11.59359422,9.7201
21,12.64411597,8.2656
22,14.73557778,14
23,18.42918791,16.1
24,12.36538902,8.26
25,17.4837268,15.6
26,10.83365656,11.03
27,12.63043575,8.88
28,11.03564443,10.76
29,13.08785113,14.44
30,13.52508418,13.35
31,15.81677377,16.31
32,15.94608934,16.83
33,12.92497845,12.8
34,15.86699442,11.92
35,12.37769994,11.6
36,9.108328971,10
37,18.39945446,18.1547
38,12.40044113,13.78
39,15.85567937,14.18
40,9.723148726,10.73
41,10.48847887,9.3
