,Unnamed: 0,predicted_value,ground_truth
0,0,60.45602895491459,59.0
1,1,62.64125527260004,69.0
2,2,35.134040670471336,33.0
3,3,42.0070578934642,44.0
4,4,74.76180563771604,71.0
5,5,25.061603283433623,26.0
6,6,50.28669884526347,56.0
7,7,79.42389239837395,71.0
8,8,43.10430453074841,41.0
9,9,81.57743021178933,68.0
10,10,89.88948571148909,74.0
11,11,82.23325662263007,83.0
12,12,85.85909651168723,83.0
13,13,78.4217805780646,79.0
14,14,70.12414694502388,69.0
15,15,56.56164972841483,62.0
16,16,63.89777938140953,65.0
17,17,47.067839413046855,50.0
18,18,79.92139069473949,72.0
19,19,42.67484642314933,35.0
20,20,24.776836870850868,41.0
21,21,80.9367011081972,87.0
22,22,27.70045176081827,37.0
23,23,92.18728179387479,80.0
24,24,83.29544745329156,78.0
25,25,71.15490888701653,72.0
26,26,42.577758988835036,52.0
27,27,67.03325160260488,59.0
28,28,63.568379986679,63.0
29,29,82.92352170300762,82.0
30,30,63.56624585843197,67.0
31,31,77.02851385192595,76.0
32,32,55.87695318266947,48.0
33,33,63.88522102673525,74.0
34,34,64.90599436847891,64.0
35,35,79.50885490406002,85.0
36,36,41.389430178113074,46.0
37,37,73.12216370605292,76.0
38,38,66.8360163500674,67.0
39,39,44.732879797378004,39.0
40,40,45.85067566953566,53.0
41,41,81.4733749587551,79.0
42,42,29.738333024038013,24.0
