Unnamed: 0,predicted_value,ground_truth
0,60.34249699758979,62.0
1,39.34570888053123,53.0
2,36.78130398927559,42.0
3,76.82410280754003,70.0
4,43.81687641718127,46.0
5,87.20675683139167,75.0
6,83.3031300515407,79.0
7,80.04474053287193,79.0
8,70.43380847634478,76.0
9,74.01428943684647,68.0
10,76.39400588368278,66.0
11,85.62010064655004,80.0
12,68.82318121356764,65.0
13,66.84099903458025,66.0
14,24.035434319845397,24.0
15,44.453871994024944,53.0
16,54.84629622151256,56.0
17,36.6277210192187,43.0
18,35.92491003628344,35.0
19,83.82889302949097,80.0
20,67.43322459495786,63.0
21,69.81283800735034,63.0
22,48.896640452209176,46.0
23,85.62442686918658,78.0
24,41.26815576422948,29.0
25,75.79086976830622,73.0
26,34.92190124481881,37.0
27,88.37742817354574,83.0
28,74.06547101622935,84.0
29,82.67773124283958,85.0
30,49.288611156883576,58.0
31,89.23797978366282,82.0
32,42.00427330596578,49.0
33,33.41193957706286,24.0
34,74.61810507589779,71.0
35,82.1980997411486,73.0
36,65.30287821378083,69.0
37,43.96569047825143,48.0
38,79.94265779021485,68.0
39,63.410024337108936,60.0
40,31.517421474741248,36.0
41,89.02783730255504,82.0
42,77.28275100571248,76.0
