Unnamed: 0,predicted_value,ground_truth
0,16.818067414342366,14.9
1,7.955858308190961,12.36
2,15.996543622500027,18.2
3,21.150116083262244,16.6
4,19.909056698010126,17.4
5,9.644352505017986,12.49
6,11.042897911257796,13.6
7,9.483327254666627,8.94
8,5.71184460605506,11.03
9,20.718964696546056,15.91
10,10.134597338749533,12.23
11,10.478200788874629,16.57
12,17.033207510646886,19.08
13,16.507707311581054,13.0
14,6.611075317142276,8.86
15,16.070747826749965,13.9
16,17.09439033774174,14.0
17,11.549561510127443,14.3
18,9.733905356432718,16.0
19,8.536977962085025,7.66
20,18.59901128901049,19.7
21,7.186745268886679,11.79
22,16.454287807665906,9.69
23,17.349041199954154,14.37
24,12.474190545496178,12.92
25,14.152162395682247,11.45
26,8.270866770648016,15.1
27,12.55639121210092,9.41
28,9.776965471110405,11.95
29,14.783619069674833,15.27
30,15.386360291724257,14.91
31,18.04822757251635,14.66
32,15.626059809158512,13.6
33,7.262477703405305,8.91
34,9.249928948355445,10.84
35,10.666317226155906,16.8
36,19.509156581575425,18.2
37,9.653913611606018,11.0
38,10.084458912805374,10.0
39,15.11785906006362,12.66
40,11.21652825394384,10.29
41,17.93887666534339,17.6
