Unnamed: 0,Unnamed: 0.1,predicted_value,ground_truth
0,0,13.663721552463748,11.83
1,1,20.271920373204033,14.1
2,2,12.745920317297921,9.15
3,3,11.257527761410815,10.64
4,4,20.654243343078658,14.42
5,5,4.997725608339904,8.2
6,6,8.577679194627857,11.6
7,7,9.281880664586708,14.17
8,8,5.0775686861641365,10.2218
9,9,-1.2891917740901775,13.95
10,10,12.557348976818087,15.6
11,11,22.121097369723667,18.3
12,12,14.627153277601106,18.1547
13,13,23.287087959717862,18.9
14,14,31.563760933649007,14.0
15,15,15.63650464675105,12.44
16,16,35.97815171695279,13.12
17,17,13.276169707482484,10.9
18,18,4.608823796013128,14.86
19,19,7.159140854394542,8.52
20,20,13.596516286551052,9.97
21,21,16.60263604107953,19.8
22,22,4.43556616643118,9.44
23,23,7.568548179046977,17.8
24,24,16.003170130377313,16.31
25,25,0.44116424386325964,14.42
26,26,2.7175339927053686,11.56
27,27,30.223644037939252,12.25
28,28,25.306975718044118,12.3477
29,29,16.431447662282917,17.8
30,30,7.872612788398255,13.25
31,31,-1.223146820855707,16.57
32,32,20.03233413526973,10.82
33,33,10.902454489458009,15.27
34,34,17.267007129228478,12.77
35,35,7.285311576943782,10.4
36,36,5.525637657500474,16.0
37,37,9.08893019073541,13.38
38,38,4.844711210628939,9.73
39,39,15.455718101954774,11.56
40,40,8.198307637809625,16.8
41,41,12.426562657715209,7.29
