Unnamed: 0,predicted_value,ground_truth
0,58.67665192886781,62.0
1,46.57855216857191,53.0
2,44.550822232201384,42.0
3,82.14104575055411,70.0
4,48.03016571670552,46.0
5,91.71187368814846,75.0
6,91.48401948365506,79.0
7,82.53803031165926,79.0
8,66.45476130597402,76.0
9,68.70007995673502,68.0
10,81.52881490406072,66.0
11,80.47556671964887,80.0
12,69.58213663701343,65.0
13,58.58832153336314,66.0
14,25.488981890212106,24.0
15,48.04928533381029,53.0
16,54.77112724466701,56.0
17,40.48144318044978,43.0
18,38.54270441407403,35.0
19,83.07446611595357,80.0
20,66.34123206317842,63.0
21,73.72888220789848,63.0
22,41.38106036157128,46.0
23,82.53875142609625,78.0
24,36.62557258347575,29.0
25,76.77254162322386,73.0
26,37.57763825023989,37.0
27,80.3058657263903,83.0
28,83.9029786868043,84.0
29,76.30156776058594,85.0
30,56.61223769793919,58.0
31,85.74643821216642,82.0
32,41.491832374847476,49.0
33,32.898079088225906,24.0
34,73.18106781085046,71.0
35,86.80005945106733,73.0
36,64.32304316328319,69.0
37,46.86816301148839,48.0
38,79.89562348556865,68.0
39,60.05244807715865,60.0
40,35.78668707598216,36.0
41,89.85032508005251,82.0
42,75.71144576784754,76.0
