Unnamed: 0,predicted_value,ground_truth
0,44.324732703795426,51.0
1,74.60103650350354,79.0
2,86.37907547060615,85.0
3,76.99663761663204,62.0
4,59.494664024869536,59.0
5,77.16366397981515,79.0
6,89.9069931588932,83.0
7,78.5027765549545,78.0
8,35.26820619080835,34.0
9,80.02110269972817,71.0
10,76.39822426568715,76.0
11,47.04837604665965,57.0
12,85.89382858033598,80.0
13,82.35567499558665,82.0
14,77.62203071496278,66.0
15,35.49037288196142,27.0
16,80.0183940364424,70.0
17,70.50545676022647,68.0
18,60.918734413333695,65.0
19,66.43380905057262,68.0
20,19.147045737904737,19.0
21,84.46207659388799,85.0
22,48.9189791598209,56.0
23,36.872258240563895,39.0
24,74.47199805207141,76.0
25,57.37146552427682,64.0
26,54.39531575876109,54.0
27,69.2133367233454,73.0
28,39.260270469843505,40.0
29,52.384937102361086,52.0
30,82.10542363383023,75.0
31,73.73972003608712,72.0
32,74.77607836279681,70.0
33,63.21298485671831,67.0
34,23.158065301618958,30.0
35,48.044350217415406,51.0
36,80.79931069292871,80.0
37,73.2230870665312,84.0
38,31.375744105722042,45.0
39,39.28668373146976,42.0
40,61.92102241285826,63.0
41,38.77512135429144,46.0
42,76.0070140916566,81.0
